time,latitude,longitude,mag,id,updated,place,type,geom,state
42:01.7,19.1688,-66.3809,3.2,pr14360001,20:37.4,"77km N of Brenas, Puerto Rico",earthquake,0101000020AD100000F8C264AA609850C097900F7A362B3340,
54:18.7,18.992,-65.2001,3,pr14360000,25:42.6,"77km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD1000007FFB3A70CE4C50C0CBA145B6F3FD3240,
11:36.4,36.368,-97.0684,3.9,usc000ta04,21:51.5,"21km ENE of Perry, Oklahoma",earthquake,0101000020AD100000F8C264AA604458C0C976BE9F1A2F4240,Oklahoma
32:49.5,35.8124,-97.4167,3.5,usc000t9zk,04:02.0,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD100000910F7A36AB5A58C09CA223B9FCE74140,Oklahoma
45:42.1,24.4153,-109.0765,5.1,usc000t9y1,20:24.9,"127km ENE of La Paz, Mexico",earthquake,0101000020AD10000037894160E5445BC05F07CE19516A3840,
50:18.6,18.8925,-64.3219,3,pr14358007,23:19.4,"61km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD100000462575029A1450C014AE47E17AE43240,
53:22.5,17.984,-99.136,4.1,usc000t9wh,07:34.6,"5km SSW of Copalillo, Mexico",earthquake,0101000020AD10000063105839B4C858C096438B6CE7FB3140,
09:28.7,19.1156,-65.2153,3,pr14358005,48:06.3,"90km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD1000000BB5A679C74D50C0E86A2BF6971D3340,
40:15.6,13.6073,-90.9868,4,usc000td9g,01:22.0,"39km SSW of Puerto San Jose, Guatemala",earthquake,0101000020AD10000057EC2FBB27BF56C0BBB88D06F0362B40,
27:25.3,17.6409,-96.228,4.4,usc000td92,48:15.6,"10km WSW of Ayotzintepec, Mexico",earthquake,0101000020AD1000003BDF4F8D970E58C0A301BC0512A43140,
01:26.6,14.715,-93.918,4,usc000tdxc,16:08.8,"131km SW of Pijijiapan, Mexico",earthquake,0101000020AD100000976E1283C07A57C0AE47E17A146E2D40,
58:32.9,41.9133,-119.6427,3.59,nn00473581,03:50.5,"65km ESE of Lakeview, Oregon",earthquake,0101000020AD100000E9482EFF21E95DC0E9B7AF03E7F44440,Nevada
28:59.4,13.8539,-90.7222,4.2,usc000t9nt,15:55.6,"8km S of Iztapa, Guatemala",earthquake,0101000020AD100000F54A598638AE56C0DA1B7C6132B52B40,
00:11.5,33.1783333,-115.6041667,3.56,ci37298680,12:52.3,"3km ENE of Obsidian Butte, California",earthquake,0101000020AD1000004475CEAAAAE65CC0D5A425A0D3964040,California
51:51.4,33.1851667,-115.6085,4.19,ci37298672,23:06.3,"3km ENE of Obsidian Butte, California",earthquake,0101000020AD1000006DE7FBA9F1E65CC07567DC8AB3974040,California
10:37.4,44.4556,-114.1515,3.7,usc000t9mc,36:52.1,"8km SE of Challis, Idaho",earthquake,0101000020AD10000004560E2DB2895CC05F07CE19513A4640,Idaho
24/12/2014 03:32,53.4075,-163.6951,3.4,usc000tb30,27:04.1,"159km ESE of Akutan, Alaska",earthquake,0101000020AD10000063EE5A423E7664C05C8FC2F528B44A40,
19:51.7,9.2618,-61.3167,4.1,usc000td87,16:02.2,"83km ENE of Tucupita, Venezuela",earthquake,0101000020AD100000545227A089A84EC0832F4CA60A862240,
02:56.2,58.2456,-142.7483,3.2,usc000tkp7,19:25.4,"203km S of Cape Yakataga, Alaska",earthquake,0101000020AD1000001973D712F2D761C0E5F21FD26F1F4D40,
23/12/2014 22:02,58.1177,-142.7283,3,ak11472344,12:46.0,"216km S of Cape Yakataga, Alaska",earthquake,0101000020AD100000A835CD3B4ED761C09E5E29CB100F4D40,
35:28.4,36.8913,-97.6911,3,usc000t9i2,49:48.8,"10km NNE of Medford, Oklahoma",earthquake,0101000020AD10000000917EFB3A6C58C060764F1E16724240,Oklahoma
36:39.7,14.64,-93.922,4.7,usc000t9ge,57:34.7,"138km SSW of Pijijiapan, Mexico",earthquake,0101000020AD1000005FBA490C027B57C048E17A14AE472D40,
52:34.7,44.4606,-114.1566,3.8,usc000t9de,14:27.9,"7km SE of Challis, Idaho",earthquake,0101000020AD1000006EA301BC058A5CC0D044D8F0F43A4640,Idaho
33:36.4,36.9501,-104.7718,3.4,usc000t9d5,35:40.3,"30km W of Raton, New Mexico",earthquake,0101000020AD10000061C3D32B65315AC0FDF675E09C794240,New Mexico
22:53.9,13.6656,-90.3368,4.4,usc000t9d3,52:20.6,"37km SSW of Pasaco, Guatemala",earthquake,0101000020AD100000BD5296218E9556C0696FF085C9542B40,
56:26.2,44.42,-114.159,3.9,usc000td7c,08:59.5,"11km SSE of Challis, Idaho",earthquake,0101000020AD1000001804560E2D8A5CC0F6285C8FC2354640,Idaho
23/12/2014 11:55,44.4535,-114.152,3.7,usc000t9cz,42:24.1,"8km SE of Challis, Idaho",earthquake,0101000020AD1000007D3F355EBA895CC0355EBA490C3A4640,Idaho
53:33.7,44.4553,-114.1576,3.4,usc000t9cy,35:29.5,"8km SE of Challis, Idaho",earthquake,0101000020AD10000060764F1E168A5CC035EF3845473A4640,Idaho
01:06.4,16.9899,-94.021,4.1,usc000t9cm,25:48.5,"43km NW of Cintalapa de Figueroa, Mexico",earthquake,0101000020AD100000D34D6210588157C0764F1E166AFD3040,
59:01.4,34.0200005,-117.2286682,3.14,ci37298432,02:24.8,"4km SE of Loma Linda, California",earthquake,0101000020AD100000A728F27FA24E5DC0ABB35A608F024140,California
32:53.9,19.1196,-66.3533,3,pr14357003,49:33.8,"72km N of Brenas, Puerto Rico",earthquake,0101000020AD100000516B9A779C9650C0029A081B9E1E3340,
31:24.2,19.1571,-66.3564,3,pr14357002,45:20.0,"76km N of Brenas, Puerto Rico",earthquake,0101000020AD100000D712F241CF9650C09C33A2B437283340,
42:00.2,41.833,-119.6264,3.54,nn00473336,05:46.7,"71km ESE of Lakeview, Oregon",earthquake,0101000020AD100000B98D06F016E85DC0B4C876BE9FEA4440,Nevada
31:21.5,44.4466,-114.1375,3.3,usc000t9b1,40:03.2,"9km SE of Challis, Idaho",earthquake,0101000020AD100000CDCCCCCCCC885CC0613255302A394640,Idaho
37:22.0,41.8479,-126.8775,3.1,usc000t9at,21:05.1,"212km WSW of Gold Beach, Oregon",earthquake,0101000020AD1000005C8FC2F528B85FC0A323B9FC87EC4440,
55:54.4,53.653,-164.954,3.6,usc000talf,17:21.1,"76km SE of Akutan, Alaska",earthquake,0101000020AD1000004A0C022B879E64C0DD24068195D34A40,
01:06.4,50.9022,-130.1266,4.6,usc000t97l,10:47.0,"192km W of Port Hardy, Canada",earthquake,0101000020AD1000008E75711B0D4460C0C139234A7B734940,
22/12/2014 20:44,53.4127,-167.2182,3,usc000tald,07:41.8,"68km SW of Unalaska, Alaska",earthquake,0101000020AD10000097FF907EFBE664C09487855AD3B44A40,Alaska
20:36.8,44.473,-114.1635,3.7,usc000t94m,06:36.4,"6km ESE of Challis, Idaho",earthquake,0101000020AD1000005839B4C8768A5CC0068195438B3C4640,Idaho
04:41.4,10.1637,-85.4864,4.1,usc000td57,59:08.3,"4km WNW of Nicoya, Costa Rica",earthquake,0101000020AD1000009031772D215F55C0DDB5847CD0532440,
12:38.3,36.2766,-97.2252,3,usc000t937,00:18.2,"5km ESE of Perry, Oklahoma",earthquake,0101000020AD100000CAC342AD694E58C06C09F9A067234240,Oklahoma
45:07.0,37.2649,-97.9365,3.5,usc000t91z,33:08.2,"8km ESE of Harper, Kansas",earthquake,0101000020AD1000000E2DB29DEF7B58C0EE5A423EE8A14240,Kansas
22/12/2014 07:40,60.1203,-152.8976,3.5,ak11471163,11:37.7,"41km SSW of Redoubt Volcano, Alaska",earthquake,0101000020AD100000789CA223B91C63C0BADA8AFD650F4E40,Alaska
51:37.4,50.746,-130.525,4.5,usc000t91d,54:39.6,"219km W of Port Hardy, Canada",earthquake,0101000020AD100000CDCCCCCCCC5060C0736891ED7C5F4940,
05:53.5,36.0671,-97.3586,3,usc000t90z,00:53.0,"16km NW of Langston, Oklahoma",earthquake,0101000020AD1000001E166A4DF35658C0E3C798BB96084240,Oklahoma
44:04.4,17.9225,-68.3243,3.2,pr14356004,30:17.5,"58km SSE of Boca de Yuma, Dominican Republic",earthquake,0101000020AD100000F085C954C11451C05C8FC2F528EC3140,
40:56.8,36.8024,-98.1933,3.6,usc000t90l,28:23.8,"15km ENE of Cherokee, Oklahoma",earthquake,0101000020AD1000004694F6065F8C58C0BB270F0BB5664240,Oklahoma
42:25.9,19.5531,-65.2919,3.4,pr14356005,51:43.9,"137km NNE of Vieques, Puerto Rico",earthquake,0101000020AD100000F46C567DAE5250C0E86A2BF6978D3340,
31:54.5,54.0039,-162.8588,4.7,usc000t90b,48:27.3,"100km SSE of False Pass, Alaska",earthquake,0101000020AD100000C139234A7B5B64C02A3A92CB7F004B40,
22/12/2014 00:41,53.7874,-164.1106,3.6,usc000t95i,20:57.4,"115km ESE of Akutan, Alaska",earthquake,0101000020AD10000001DE02098A8364C0696FF085C9E44A40,
58:35.6,18.9955,-65.1781,3,pr14355016,25:57.9,"76km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD100000BADA8AFD654B50C0022B8716D9FE3240,
35:13.2,19.0265,-65.376,3,pr14355013,26:58.6,"80km NNE of Luquillo, Puerto Rico",earthquake,0101000020AD100000F2D24D62105850C0105839B4C8063340,
14:46.1,19.0165,-65.1792,3.9,pr14355008,23:22.0,"79km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0101000020AD1000005DDC4603784B50C04E62105839043340,
37:30.6,18.9883,-65.2372,3,pr14355009,06:58.6,"76km N of Culebra, Puerto Rico",earthquake,0101000020AD1000001EA7E8482E4F50C005A3923A01FD3240,
21/12/2014 21:03,54.1903,-159.8732,3.3,usc000t8zy,43:08.6,"69km SSW of Chernabura Island, Alaska",earthquake,0101000020AD100000C05B2041F1FB63C0E3361AC05B184B40,
42:55.3,36.6285,-97.7101,3.4,usc000t8xu,12:20.3,"19km S of Medford, Oklahoma",earthquake,0101000020AD100000EF384547726D58C09CC420B072504240,Oklahoma
36:00.1,36.6267,-97.7149,3.4,usc000t8xq,31:47.0,"20km S of Medford, Oklahoma",earthquake,0101000020AD10000044FAEDEBC06D58C09C33A2B437504240,Oklahoma
44:05.8,36.9379,-97.7253,3.3,usc000t8ws,53:22.1,"14km SW of Caldwell, Kansas",earthquake,0101000020AD1000007CF2B0506B6E58C08E75711B0D784240,Oklahoma
45:44.2,51.0327,-130.2433,4.7,usc000t8vh,56:14.9,"193km SW of Bella Bella, Canada",earthquake,0101000020AD100000BDE3141DC94760C0234A7B832F844940,
35:01.1,14.427,-92.74,4.2,usc000t8vf,11:37.7,"47km SW of Puerto Madero, Mexico",earthquake,0101000020AD1000008FC2F5285C2F57C0B4C876BE9FDA2C40,
19:45.4,50.7373,-130.4995,4.3,usc000t8ve,07:14.8,"217km W of Port Hardy, Canada",earthquake,0101000020AD100000448B6CE7FB4F60C09FABADD85F5E4940,
21/12/2014 09:40,50.79,-130.52,5.2,usc000t8vb,59:06.2,"219km W of Port Hardy, Canada",earthquake,0101000020AD100000713D0AD7A35060C085EB51B81E654940,
28:20.4,18.9713,-65.3168,3,pr14355004,41:04.3,"73km N of Culebra, Puerto Rico",earthquake,0101000020AD100000DCD78173465450C0D49AE61DA7F83240,
53:23.4,36.5278,-98.227,3,usc000t8v7,06:11.4,"4km ESE of Helena, Oklahoma",earthquake,0101000020AD1000004A0C022B878E58C0166A4DF38E434240,Oklahoma
48:57.3,19.0307,-65.2648,3,pr14355003,28:50.7,"80km N of Culebra, Puerto Rico",earthquake,0101000020AD100000C5FEB27BF25050C0B9FC87F4DB073340,
35:48.1,50.7493,-130.4889,4,usc000tcuf,19:49.5,"216km W of Port Hardy, Canada",earthquake,0101000020AD10000076E09C11A54F60C04772F90FE95F4940,
59:04.1,36.761,-97.5719,3.1,usc000t8uh,37:24.4,"15km ESE of Medford, Oklahoma",earthquake,0101000020AD100000462575029A6458C0C420B07268614240,Oklahoma
25:32.7,17.3963,-95.279,4.4,usc000t8tt,45:23.6,"26km W of Jesus Carranza, Mexico",earthquake,0101000020AD10000060E5D022DBD157C0A167B3EA73653140,
10:15.4,18.8596,-64.3445,3,pr14355001,02:19.8,"56km NNE of Road Town, British Virgin Islands",earthquake,0101000020AD100000355EBA490C1650C040A4DFBE0EDC3240,
57:38.1,50.959,-130.194,5.2,usc000t8tf,08:08.5,"196km SW of Bella Bella, Canada",earthquake,0101000020AD10000091ED7C3F354660C0976E1283C07A4940,
17:09.4,36.1751,-97.3867,3,usc000t8t4,13:07.3,"15km SW of Perry, Oklahoma",earthquake,0101000020AD1000003F575BB1BF5858C0CAC342AD69164240,Oklahoma
20/12/2014 23:30,60.126,-152.7964,3.1,ak11470181,26:11.5,"40km S of Redoubt Volcano, Alaska",earthquake,0101000020AD1000001A51DA1B7C1963C0E4A59BC420104E40,Alaska
10:18.9,44.096,-128.5294,4.2,usc000tcrm,07:53.3,Off the coast of Oregon,earthquake,0101000020AD10000014D044D8F01060C040355EBA490C4640,
54:28.4,50.7361,-130.4872,4.7,usc000t8s0,02:42.7,"216km W of Port Hardy, Canada",earthquake,0101000020AD1000008F537424974F60C0F54A5986385E4940,
36:32.0,50.722,-130.4937,4.4,usc000tcrs,54:58.2,"217km W of Port Hardy, Canada",earthquake,0101000020AD1000002041F163CC4F60C023DBF97E6A5C4940,
38:27.2,18.6709,-64.8227,3.1,pr14354007,06:32.1,"35km NW of Road Town, British Virgin Islands",earthquake,0101000020AD100000D49AE61DA73450C0EBE2361AC0AB3240,
45:49.9,11.2825,-86.9565,4.2,usc000tcr6,26:04.4,"73km SW of Masachapa, Nicaragua",earthquake,0101000020AD100000F0A7C64B37BD55C0713D0AD7A3902640,
37:32.9,11.3782,-86.9445,4.8,usc000t8pi,42:04.3,"65km SW of Masachapa, Nicaragua",earthquake,0101000020AD1000009CC420B072BC55C0C4B12E6EA3C12640,
54:51.2,11.6621,-88.8262,4.5,usc000t8pc,35:05.6,"181km S of Puerto El Triunfo, El Salvador",earthquake,0101000020AD10000022FDF675E03456C0FB5C6DC5FE522740,
25:41.0,13.759,-91.3159,4.5,usc000t8p1,56:19.3,"45km SW of La Gomera, Guatemala",earthquake,0101000020AD1000009C33A2B437D456C0F853E3A59B842B40,
20/12/2014 07:32,63.1683,-150.3498,3.1,ak11469605,13:11.0,"74km WSW of Cantwell, Alaska",earthquake,0101000020AD1000008104C58F31CB62C05AF5B9DA8A954F40,Alaska
44:40.8,41.8599,-119.6059,3.08,nn00472837,05:44.0,"71km ESE of Lakeview, Oregon",earthquake,0101000020AD1000005F29CB10C7E65DC04BEA043411EE4440,Nevada
20/12/2014 06:33,60.1324,-153.1265,3.2,ak11469588,10:12.6,"44km SSW of Redoubt Volcano, Alaska",earthquake,0101000020AD100000355EBA490C2463C0C5FEB27BF2104E40,Alaska
20/12/2014 05:55,12.647,-90.123,3.9,usc000tcqy,04:57.0,"109km SSW of Acajutla, El Salvador",earthquake,0101000020AD1000001C5A643BDF8756C025068195434B2940,
20/12/2014 04:16,63.3672,-145.2549,3.2,ak11469565,26:48.6,"56km S of Deltana, Alaska",earthquake,0101000020AD10000003780B24282862C0AC8BDB6800AF4F40,Alaska
34:18.5,43.3274,-126.6379,4.2,usc000t8lj,50:38.5,"182km W of Bandon, Oregon",earthquake,0101000020AD1000009487855AD3A85FC0EE5A423EE8A94540,
55:29.6,54.432,-160.788,4.3,usc000t8kv,52:33.0,"88km WSW of Chernabura Island, Alaska",earthquake,0101000020AD100000EFA7C64B371964C09DEFA7C64B374B40,
58:01.2,18.0405,-67.9716,3.5,pr14353003,03:10.8,"75km SE of Punta Cana, Dominican Republic",earthquake,0101000020AD100000CA32C4B12EFE50C0EE7C3F355E0A3240,
51:16.1,14.583,-92.54,4.2,usc000tduz,06:21.4,"19km SW of Puerto Madero, Mexico",earthquake,0101000020AD100000C3F5285C8F2257C0D122DBF97E2A2D40,
49:30.1,16.1989,-61.8058,5.6,usc000t8gv,38:37.8,"4km SSW of Pointe-Noire, Guadeloupe",earthquake,0101000020AD100000F38E537424E74EC0A52C431CEB323040,
19/12/2014 16:40,63.5396,-147.3884,3.3,ak11469080,37:38.8,"79km ENE of Cantwell, Alaska",earthquake,0101000020AD1000008638D6C56D6C62C0F775E09C11C54F40,Alaska
19/12/2014 16:05,14.2825,-92.717,4.7,usc000t8av,16:56.8,"58km SSW of Puerto Madero, Mexico",earthquake,0101000020AD100000DACEF753E32D57C0713D0AD7A3902C40,
29:43.8,41.8492,-119.6256,3.07,nn00472703,16:28.8,"70km ESE of Lakeview, Oregon",earthquake,0101000020AD1000002B1895D409E85DC0B1E1E995B2EC4440,Nevada
41:01.0,41.8568,-119.598,3.01,nn00472698,31:39.8,"72km ESE of Lakeview, Oregon",earthquake,0101000020AD10000083C0CAA145E65DC03D9B559FABED4440,Nevada
01:06.9,44.9556667,-123.5536667,3.15,uw60940797,30:34.4,"12km SSE of Grand Ronde, Oregon",earthquake,0101000020AD100000985874466FE35EC029305349537A4640,Oregon
37:12.4,41.8663,-119.6039,3.25,nn00472687,17:46.7,"71km ESE of Lakeview, Oregon",earthquake,0101000020AD1000007B832F4CA6E65DC02D431CEBE2EE4440,Nevada
33:13.9,41.8858,-119.5995,3.07,nn00474377,12:02.7,"73km ESE of Lakeview, Oregon",earthquake,0101000020AD100000EE7C3F355EE65DC0FE65F7E461F14440,Nevada
18:08.2,36.7564,-97.5659,3.3,usc000t89b,34:11.1,"15km ESE of Medford, Oklahoma",earthquake,0101000020AD1000009C33A2B4376458C0E25817B7D1604240,Oklahoma
05:24.9,55.734,-158.37,4,usc000t86v,07:26.7,"63km SSE of Chignik Lake, Alaska",earthquake,0101000020AD100000A4703D0AD7CB63C0CAA145B6F3DD4B40,
19/12/2014 05:55,12.4864,-89.4303,4,usc000tcti,10:03.7,"111km S of La Libertad, El Salvador",earthquake,0101000020AD10000001DE02098A5B56C07E8CB96B09F92840,
40:02.5,41.1093,-126.819,4.4,usc000t84t,49:11.1,"223km WNW of Ferndale, California",earthquake,0101000020AD10000023DBF97E6AB45FC0F5B9DA8AFD8D4440,
35:02.3,40.8417,-126.5622,3.6,usc000t84j,22:39.9,"196km W of Ferndale, California",earthquake,0101000020AD100000EB73B515FBA35FC088855AD3BC6B4440,
53:05.7,41.2438,-127.3495,3.8,usc000tcs7,48:36.1,"268km W of Crescent City, California",earthquake,0101000020AD100000EE7C3F355ED65FC0E561A1D6349F4440,
42:30.4,41.0051,-127.3106,4.6,usc000t84b,25:25.7,"261km WNW of Ferndale, California",earthquake,0101000020AD100000CE88D2DEE0D35FC0D49AE61DA7804440,
18/12/2014 23:06,36.1511,-97.4904,3.4,usc000t82b,37:20.7,"23km SW of Perry, Oklahoma",earthquake,0101000020AD100000567DAEB6625F58C07A36AB3E57134240,Oklahoma
12:30.9,14.622,-92.724,4.8,usc000t810,35:08.4,"34km WSW of Puerto Madero, Mexico",earthquake,0101000020AD10000074931804562E57C05839B4C8763E2D40,
18/12/2014 22:05,66.744,-153.6118,3.1,ak11468204,08:58.7,"48km WNW of New Allakaket, Alaska",earthquake,0101000020AD1000002BF697DD933363C0560E2DB29DAF5040,Alaska
58:15.2,14.592,-92.666,4.3,usc000tcqc,33:44.5,"29km WSW of Puerto Madero, Mexico",earthquake,0101000020AD100000B4C876BE9F2A57C0C976BE9F1A2F2D40,
03:01.6,13.8784,-90.9531,4.2,usc000t7wf,28:07.1,"14km WSW of Puerto San Jose, Guatemala",earthquake,0101000020AD10000054742497FFBC56C0E09C11A5BDC12B40,
59:45.6,19.1767,-66.8168,3.1,pr14352007,36:47.5,"76km N of Hatillo, Puerto Rico",earthquake,0101000020AD100000DCD7817346B450C0053411363C2D3340,
18/12/2014 12:10,61.4103,-149.9118,3.4,ak11467925,49:10.0,"12km S of Big Lake, Alaska",earthquake,0101000020AD100000C58F31772DBD62C03FC6DCB584B44E40,Alaska
18/12/2014 08:58,16.814,-99.672,4.1,usc000tdu1,33:45.8,"23km ESE of Acapulco de Juarez, Mexico",earthquake,0101000020AD1000005FBA490C02EB58C0AAF1D24D62D03040,
46:28.2,18.7005,-68.6563,3.2,pr14352006,09:23.5,"5km N of Otra Banda, Dominican Republic",earthquake,0101000020AD1000005917B7D1002A51C017D9CEF753B33240,
